"","url"
"1","http://www.sunholiday.turystyka.net/"
"2","http://www.republika.pl/arkadia_a/"
"3","http://www.aupairpl.com.pl/"
"4","http://www.austria.info.pl/"
"5","http://republika.pl/andrzejw2/"
"6","http://www.rospond.com.pl/"
"7","http://www.qdnet.pl/%7Ejonca/index2.htm"
"8","http://www.busko.zdroj.prv.pl/"
"9","http://www.turystyka.biz.pl/"
"10","http://www.abc.it.pl/"
"11","http://www.wolff.pl/bup/"
"12","http://www.dziennik.com/"
"13","http://www.promedia.com.pl/dg/"
"14","http://www.dziennik.lodz.pl/"
"15","http://www.dziennik.krakow.pl/"
"16","http://www.dw.lublin.pl/"
"17","http://www.dz.com.pl/"
"18","http://www.echo-dnia.com.pl/"
"19","http://www.express.lodz.pl/"
"20","http://www.gorzycki.com.pl"
"21","http://www.elmot-rally.com.pl/"
"22","http://300zx.tuning.pl/"
"23","http://www.rajdwisly.pl/"
"24","http://www.tuning.pl/4tech/"
"25","http://www.rajdpolski.pl/"
"26","http://195.116.35.15/luk/rpolski99/"
"27","http://www.alcar.pl/"
"28","http://www.alfaromeo.com.pl/"
"29","http://volvo.alko.com.pl/"
"30","http://friko1.onet.pl/po/faza01/"
"31","http://www.abarbar.ids.pl/"
"32","http://www.cbk.waw.pl/"
"33","http://www.lucas.sim.pl/czarnobyl/"
"34","http://www.ryzykfizyk.w.pl/"
"35","http://www.kki.net.pl/macius/"
"36","http://www.wsi.edu.pl/~izka/fraktale.htm"
"37","http://www.ids.net.pl/nole/"
"38","http://www.webfabrika.com.pl/pogoda/"
"39","http://www.optel.com.pl/i"
"40","http://www.liberty.com.pl/"
"41","http://gsm.nets.pl/"
"42","http://www.abmcomp.com.pl/"
"43","http://www.active-gsm.com.pl/"
"44","http://www.adaxland.pl/"
"45","http://www.admax.pl/"
"46","http://www.agaele.com.pl/"
"47","http://www.agnus.com.pl/"
"48","http://www.ak-nel.com.pl/"
"49","http://www.alcatel.pl/"
"50","http://www.gry.kimip.pl/"
"51","http://pw.mud.pl/"
"52","http://3d.gad.pl/"
"53","http://absolute.prv.pl/"
"54","http://priv6.onet.pl/rze/sirleo/amiga.html"
"55","http://www.aeo.silesianet.pl/"
"56","http://www.plukwa.pdi.net/~narg/aminet/"
"57","http://www.ami-site.w.pl/"
"58","http://www.artem.com.pl/"
"68","http://www.nuta.pl/"
"69","http://www.acton.alpha.pl/"
"70","http://www.albert.warka.pl/"
"71","http://priv1.onet.pl/poz/best_mp3/"
"72","http://members.xoom.com/YokaNet/Lipnicka/index.html"
"73","http://friko6.onet.pl/wa/nests/"
"74","http://www.atomic.com.pl/"
"75","http://www.backstreet.home.pl/"
"76","http://www.bsb.prv.pl/"
"77","http://www.bjork.digimer.pl/"
"78","http://www.13lo.infocentrum.com/13P/pj.html"
"79","http://www.13lo.infocentrum.com/13P/pj-ten.html"
"80","http://www.13lo.infocentrum.com/13P/queen-txt.html"
"81","http://priv2.onet.pl/rze/shambo//"
"82","http://friko2.onet.pl/war/acid_mania/"
"83","http://www.free.com.pl/agnihot/"
"84","http://friko5.onet.pl/bb/akurat/"
"86","http://www.alosza.pl/"
"88","http://priv6.onet.pl/kra/pan_mateusz/"
"89","http://multisys.silesianet.pl/"
"90","http://www.13lo.infocentrum.com/13P/"
"91","http://www.3dmark.artcom.pl/"
"92","http://priv6.onet.pl/ka/tough/"
"93","http://www.achates.prv.pl/"
"94","http://www.geocities.com/aajgor/"
"95","http://www.gv.edu.pl/~morr/akm/"
"97","http://kret.slo.zary.pl/~krzys/"
"98","http://www.artpos.z.pl/"
"99","http://www.wczasy.com/_baza/017.htm"
"100","http://www.agroturystyka.org/"
"101","http://www.agroturystyka.com.pl/"
"102","http://www.karpacz.com.pl/alberto/"
"104","http://www.austria.com.pl/"
"105","http://www.autostop.digimer.pl/"
"106","http://www.uslhot.polbox.com/"
"107","http://www.wczasy.com/"
"109","http://www.promail.pl/~joker007/"
"110","http://humorek.cjb.net/"
"111","http://www.lo3.zabrze.pl/~michalp/"
"112","http://www.alejaja.prv.pl/"
"114","http://www.humorek.of.pl/"
"115","http://strony2.wp.pl/wp/tommy_r/"
"116","http://bg.wp.pl/"
"117","http://www.agros-lowicz.com.pl/"
"118","http://www.apia.com.pl/"
"119","http://www.apipol.com.pl/"
"120","http://www.aquadrop.com.pl/"
"121","http://www.aquafilter.com.pl/"
"122","http://www.aqvasystem.com.pl/"
"123","http://www.arras.com.pl/"
"124","http://www.atleta.icon.pl/"
"125","http://friko2.onet.pl/gd/seva/"
"126","http://body.koti.com.pl/"
"127","http://www.jarecki.ikki.com.pl/index.html"
"128","http://www.agp.pl/"
"129","http://www.awf.wroc.pl/"
"130","http://www.polska.lex.pl/prasa/Albo-Olsztynek/"
"131","http://www.usaemb.pl/"
"132","http://www.free.polbox.pl/b/bsostrow/"
"133","http://www.barlinek.pl/"
"134","http://felieton.com.pl/"
"135","http://www.ariadna.pl/bml/"
"136","http://www.info.poznan.pl/BezpiecznyPoznan/bmiasto.html"
"137","http://1001orgazmow.prv.pl/"
"138","http://25dziewczyn.prv.pl/"
"139","http://www.promail.pl/~teengay/"
"140","http://chat.virtual.pl/"
"141","http://www.adultcavern.of.pl/"
"142","http://www.towarzyskie.com.pl/campari/"
"143","http://www.agencje.waw.pl/"
"144","http://www.towarzyskie.com.pl/"
"145","http://republika.pl/aisza6/"
"146","http://friko4.onet.pl/pl/modellki/"
"147","http://www.plener.w.pl/"
"148","http://www.vinyl.topnet.pl/"
"149","http://www.impre-art.com.pl/obuw.htm"
"150","http://www.noweraki.com.pl/"
"151","http://www.amuz.gda.pl/"
"152","http://www.amc.pl/"
"153","http://www.cuprum.com.pl/arkatech/"
"154","http://www.cuprum.com.pl/arkatech/html/oferta.html"
"155","http://www.cyf-kr.edu.pl/~zbcholon/muzcen/audioart.html"
"156","http://www.zabawy.pl/"
"157","http://www.amf.com.pl/"
"158","http://www.balduria.prv.pl/"
"159","http://www.niku.com.pl/"
"160","http://www.duety.medianet.pl/"
"161","http://www.ea.com/"
"162","http://www.foxkids.pl/"
"163","http://clashje.gry.pl/"
"172","http://www.101porad.pl/"
"173","http://www.akwawit.com.pl/html/p_ywalnia.html"
"174","http://www.aquapark.com.pl/"
"175","http://www.kajaki.komp.pl/"
"176","http://www.bieganie.com.pl/"
"177","http://www.amg.net.pl/cnba/"
"178","http://www.polwysep.pl/koral/"
"179","http://www.sportprofil.pl/"
"180","http://priv6.onet.pl/gda/taichigdynia/"
"181","http://adimex.home.pl/"
"182","http://www.aris.com.pl/"
"183","http://www.asg.com.pl/"
"184","http://www.asher.waw.pl/"
"185","http://www.bistyp-cons.com.pl/"
"186","http://www.audytor.pl/"
"187","http://www.bdf.com.pl/bdf/oferta.htm"
"188","http://www.borys.com.pl/"
"189","http://www.brecresco.com.pl/"
"190","http://www.arpsa.com.pl/"
"191","http://www.amplico.com.pl/"
"192","http://www.plocman.pl/bgz/bgz.html"
"193","http://www.bsk.com.pl/i"
"194","http://www.bwrbank.com.pl/"
"195","http://www.bph.com.pl/biuro.html"
"196","http://www.polskyobchradca.brh.sk/"
"197","http://www.marzec.com.pl/"
"198","http://www.bovis.com.pl/"
"199","http://www.bre7.com.pl/"
"200","http://www.hackworld.prv.pl/"
"201","http://sierp.tc.pl/"
"202","http://cashserwis.iq.pl/"
"203","http://www.moneysite.w.pl/"
"204","http://www.acton.alpha.pl/webmaster/"
"219","http://www.adart.com.pl/"
"220","http://www.gea.wroc.pl/"
"221","http://www.atdv.com.pl/"
"222","http://www.anonse.com.pl/"
"223","http://zsb.wloc.ids.pl/awers/"
"224","http://www.atm.com.pl/%7Ebrulion/"
"225","http://www.bit-info.pl/"
"226","http://www.freepress.org.pl/"
"227","http://www.cinema.pl/"
"228","http://www.batory.org.pl/katalog/"
"229","http://www.ceti.pl/alchemia/"
"230","http://www.cadcamforum.pl"
"231","http://bikb.kabatnet.waw.pl/"
"232","http://www.einternet.net2000.pl/"
"233","http://www.kki.net.pl/~romazur/"
"234","http://www.labodrog.infocentrum.com/"
"235","http://www.creationism.org.pl./"
"236","http://www.proszynski.com.pl/WiedzaiZycie/"
"237","http://www.abnamro.pl/"
"238","http://www.amerbank.com.pl/"
"239","http://www.bbr.com.pl/"
"240","http://www.ba-ca.pl/"
"241","http://www.bcz.com.pl/"
"242","http://wazny.bcz.com.pl/"
"243","http://www.tg.com.pl/bgz/"
"244","http://www.bgzsa.olsztyn.pl/"
"245","http://www.workjoy.com.pl/pmap_gos/bgz/"
"246","http://www.renkar.com.pl/"
"247","http://www.acc.pl/"
"248","http://www.activa.pl/"
"249","http://www.adr.com.pl/"
"250","http://www.alsi.com.pl/"
"251","http://www.alter.bialystok.pl/"
"252","http://www.amazon-polska.krakow.pl/"
"253","http://www.aquarius.pl/"
"254","http://www.arma75.krakow.pl/"
"255","http://www.atest.pl/"
"256","http://www.mec.com.pl/"
"257","http://www.psbd.gdansk.pl/"
"258","http://www.abab.com.pl/"
"259","http://www.abet-spzoo.com.pl/"
"260","http://www.mosty2.com.pl/"
"261","http://www.abisprojekt.com.pl/"
"262","http://www.archbw.com.pl/"
"264","http://www.accord.pl/"
"265","http://www.aco.pl/"
"266","http://emerytura.socrates.pl/ranking.htm"
"267","http://www.pimw.com.pl/"
"268","http://www.dvd.com.pl/"
"269","http://www.bowling.pl/"
"270","http://www.catv.com.pl/oigkk/main.htm"
"271","http://uszatek.el.com.pl/olimp/hm/"
"272","http://www.pfs.org.pl/"
"273","http://www.mroz.pl/index2.htm"
"274","http://home.isp.net.pl/auto-komis/"
"275","http://www.sattech.com.pl/katalog/"
"276","http://republika.pl/kamova/"
"277","http://www.autonet.com.pl/"
"278","http://www.autosport.com.pl/"
"279","http://www.auto-bit.com.pl/"
"280","http://www.auto-gielda.com.pl/"
"281","http://www.autogielda.pl/"
"282","http://www.autohandel.com.pl/"
"283","http://www.accent.com.pl/"
"285","http://www.adresownik.prv.pl/"
"286","http://www.rafa.com.pl/"
"287","http://www.bib.com.pl/"
"288","http://www.aiut.com.pl/"
"289","http://www.alfa.com.pl/"
"290","http://www.amg.com.pl/"
"291","http://195.117.24.35/anarvista/index.htm"
"292","http://195.117.24.35/anarvista/"
"295","http://www.agsmedia.pl/"
"296","http://www.trzepak.pik-net.pl/"
"297","http://www.lepper-forum.prv.pl/"
"298","http://www.animals.pl"
"299","http://www.olsztyn.tpsa.pl/aik/"
"300","http://commandos.strefa.com/"
"301","http://www.caritaspolska.org.pl/"
"303","http://benchmark.ceti.com.pl/"
"304","http://www.ok.com.pl/"
"305","http://www.promail.pl/~mofo/"
"306","http://www.abj.com.pl/"
"307","http://www.cyf-kr.edu.pl/"
"308","http://thorn.stone.pl/"
"309","http://www.astrix.pl/"
